tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_9040.tgz,1, 059639_002430680, LWASV, 2022/03/01 01:56:52.000000 UTC,59639,63.30000001,78, FRB-DETECTION-#2022-03-01-01:56:25.959170UTC_DM114.4_d3d5f2fc943, 0:04:30, 2022/03/01 01:56:52.000000 UTC,16.54178,80.474831, TRK_RADEC, 5:24:45.80, 2022/03/01 02:01:22.000000 UTC, 0:04:30 
 DD002_9041.tgz,1, 059639_002431255, LWASV, 2022/03/01 03:23:14.000000 UTC,59639,63.30000001,78, FRB-DETECTION-#2022-03-01-03:22:49.363937UTC_DM281.0_e47632f0baf, 0:11:00, 2022/03/01 03:23:14.000000 UTC,5.937093,43.887131, TRK_RADEC, 6:51:21.99, 2022/03/01 03:34:14.000000 UTC, 0:11:00 
 DD002_9042.tgz,1, 059639_002435782, LWASV, 2022/03/01 13:30:52.000000 UTC,59639,63.30000001,78, FRB-DETECTION-#2022-03-01-13:30:24.765330UTC_DM264.1_c6b62c20889, 0:10:20, 2022/03/01 13:30:52.000000 UTC,16.109447,35.293152, TRK_RADEC, 17:00:39.81, 2022/03/01 13:41:12.000000 UTC, 0:10:20 
 DD002_9043.tgz,1, 059642_002460373, LWASV, 2022/03/04 00:35:25.000000 UTC,59642,63.30000001,78, FRB-DETECTION-#2022-03-04-00:34:57.117422UTC_DM333.6_f17bcc3a90e, 0:13:00, 2022/03/04 00:35:25.000000 UTC,3.371558,27.811172, TRK_RADEC, 4:14:55.07, 2022/03/04 00:48:25.000000 UTC, 0:13:00 
 DD002_9044.tgz,1, 059646_002504151, LWASV, 2022/03/08 08:36:43.000000 UTC,59646,63.30000001,78, FRB-DETECTION-#2022-03-08-08:36:17.035625UTC_DM213.9_d88fab9aa2e, 0:08:30, 2022/03/08 08:36:43.000000 UTC,11.644711,41.26786, TRK_RADEC, 12:33:18.33, 2022/03/08 08:45:13.000000 UTC, 0:08:30 
 DD002_9045.tgz,1, 059646_002507058, LWASV, 2022/03/08 15:32:32.000000 UTC,59646,63.30000001,78, FRB-DETECTION-#2022-03-08-15:32:05.222433UTC_DM359.5_eef721e4a5d, 0:14:10, 2022/03/08 15:32:32.000000 UTC,18.535238,59.430779, TRK_RADEC, 19:30:15.64, 2022/03/08 15:46:42.000000 UTC, 0:14:10 
 DD002_9046.tgz,1, 059649_002536142, LWASV, 2022/03/11 12:41:25.000000 UTC,59649,63.30000001,78, FRB-DETECTION-#2022-03-11-12:40:56.540930UTC_DM336.0_868a5b3a88e, 0:13:10, 2022/03/11 12:41:25.000000 UTC,15.894444,33.670994, TRK_RADEC, 16:50:30.20, 2022/03/11 12:54:35.000000 UTC, 0:13:10 
 DD002_9047.tgz,1, 059651_002551810, LWASV, 2022/03/13 02:47:00.000000 UTC,59651,63.30000001,78, FRB-DETECTION-#2022-03-13-02:46:32.775754UTC_DM231.7_d150871c8e6, 0:09:10, 2022/03/13 02:47:00.000000 UTC,6.107436,53.200611, TRK_RADEC, 7:02:20.67, 2022/03/13 02:56:10.000000 UTC, 0:09:10 
 DD002_9049.tgz,1, 059653_002571432, LWASV, 2022/03/15 01:20:34.000000 UTC,59653,63.30000001,78, FRB-DETECTION-#2022-03-15-01:20:05.232386UTC_DM384.6_125b7ad29e6, 0:15:00, 2022/03/15 01:20:34.000000 UTC,4.850998,10.015286, TRK_RADEC, 5:43:33.58, 2022/03/15 01:35:34.000000 UTC, 0:15:00 
 DD002_9050.tgz,1, 059654_002588958, LWASV, 2022/03/16 19:45:49.000000 UTC,59654,63.30000001,78, FRB-DETECTION-#2022-03-16-19:45:21.109803UTC_DM349.0_a30198f082f, 0:13:40, 2022/03/16 19:45:49.000000 UTC,23.388874,40.267925, TRK_RADEC, 0:15:46.69, 2022/03/16 19:59:29.000000 UTC, 0:13:40 
