tarball,beamid,datafile,site,obs_start,mjd,tun1_freq,tun2_freq,target,duration,start_time,ra,dec,mode,lst,obs_end,sess_dur
 DD002_8056.tgz,3, 059690_003455142, LWA1, 2022/04/21 20:23:45.000000 UTC,59690,63.30000001,78, FRB-DETECTION-#2022-04-21-20:23:16.607070UTC_DM268.1_e717c058a6d, 0:10:30, 2022/04/21 20:23:45.000000 UTC,2.205938,70.630005, TRK_RADEC, 3:12:46.64, 2022/04/21 20:34:15.000000 UTC, 0:10:30 
 DD002_8057.tgz,4, 059695_003512359, LWA1, 2022/04/26 17:35:50.000000 UTC,59695,63.30000001,78, FRB-DETECTION-#2022-04-26-17:35:20.866826UTC_DM174.3_457e20feb9d, 0:06:50, 2022/04/26 17:35:50.000000 UTC,23.84305,35.892586, TRK_RADEC, 0:44:06.83, 2022/04/26 17:42:40.000000 UTC, 0:06:50 
 DD002_8059.tgz,3, 059699_003552550, LWA1, 2022/04/30 04:54:41.000000 UTC,59699,63.30000001,78, FRB-DETECTION-#2022-04-30-04:54:12.882485UTC_DM384.6_9b174c36803, 0:15:00, 2022/04/30 04:54:41.000000 UTC,11.451372,38.529671, TRK_RADEC, 12:16:39.00, 2022/04/30 05:09:41.000000 UTC, 0:15:00 
 DD002_8060.tgz,3, 059702_003592276, LWA1, 2022/05/03 16:05:12.000000 UTC,59702,63.30000001,78, FRB-DETECTION-#2022-05-03-16:04:42.729853UTC_DM348.2_c4feaca49dd, 0:13:40, 2022/05/03 16:05:12.000000 UTC,22.892437,35.507668, TRK_RADEC, 23:40:49.81, 2022/05/03 16:18:52.000000 UTC, 0:13:40 
 DD002_8061.tgz,3, 059704_003610200, LWA1, 2022/05/05 05:23:37.000000 UTC,59704,63.30000001,78, FRB-DETECTION-#2022-05-05-05:23:08.532994UTC_DM57.0_78b1913897d1, 0:02:20, 2022/05/05 05:23:37.000000 UTC,12.142752,71.281898, TRK_RADEC, 13:05:22.53, 2022/05/05 05:25:57.000000 UTC, 0:02:20 
 DD002_8062.tgz,3, 059705_003625379, LWA1, 2022/05/06 14:20:21.000000 UTC,59705,63.30000001,78, FRB-DETECTION-#2022-05-06-14:19:51.498969UTC_DM397.1_9ef38e72813, 0:15:30, 2022/05/06 14:20:21.000000 UTC,21.219669,72.749352, TRK_RADEC, 22:07:31.27, 2022/05/06 14:35:51.000000 UTC, 0:15:30 
 DD002_8063.tgz,4, 059706_003631600, LWA1, 2022/05/07 03:36:45.000000 UTC,59706,63.30000001,78, FRB-DETECTION-#2022-05-07-03:36:16.436359UTC_DM57.0_dffe249eac10, 0:02:20, 2022/05/07 03:36:45.000000 UTC,10.535736,53.310108, TRK_RADEC, 11:26:06.10, 2022/05/07 03:39:05.000000 UTC, 0:02:20 
 DD002_8065.tgz,3, 059710_003684749, LWA1, 2022/05/11 18:54:50.000000 UTC,59710,63.30000001,78, FRB-DETECTION-#2022-05-11-18:54:21.830126UTC_DM209.9_cbc00882a9c, 0:08:20, 2022/05/11 18:54:50.000000 UTC,2.208851,49.991093, TRK_RADEC, 3:02:28.13, 2022/05/11 19:03:10.000000 UTC, 0:08:20 
 DD002_8066.tgz,3, 059726_003858305, LWA1, 2022/05/27 04:23:48.000000 UTC,59726,63.30000001,78, FRB-DETECTION-#2022-05-27-04:23:22.064980UTC_DM391.0_c3fdd32a83a, 0:15:19, 2022/05/27 04:23:48.000000 UTC,12.676771,65.147194, TRK_RADEC, 13:32:07.95, 2022/05/27 04:39:07.000000 UTC, 0:15:19 
 DD002_8067.tgz,3, 059727_003877160, LWA1, 2022/05/28 18:20:00.000000 UTC,59727,63.30000001,78, FRB-DETECTION-#2022-05-28-18:19:33.893286UTC_DM319.1_be76bfea954, 0:12:30, 2022/05/28 18:20:00.000000 UTC,2.7422,53.499004, TRK_RADEC, 3:34:33.87, 2022/05/28 18:32:30.000000 UTC, 0:12:30 
